Title,price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,id
Fortune Select JP Cosmos - Member ITC Hotel Group,"ýýý 3,188",Vasanth Nagar | 4.2 km from Kempegowda Bus Station,,3.9, (Good),2384,15%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,1
Vividus,"ýýý 4,133",Gandhi Nagar | 2.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 3204 Off,4.4, (Very Good),676,36%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,2
Bannerghatta Nature Camp by Jungle Lodges,"ýýý 5,253",,Exclusive Offer - HDFC Credit Card Users. Get INR 2368 Off,4.7, (Excellent),48,14%,"['Kitchenette', 'Outdoor Sports', 'Lawn']",Bangalore,09-08-2021,11-08-2021,3
Starlit Suites,"ýýý 2,094",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 1623 Off,4.2, (Very Good),362,25%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,4
The Park Bangalore,"ýýý 2,364",Ulsoor,Exclusive Offer - HDFC Credit Card Users. Get INR 1148 Off,4, (Very Good),2649,32%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,5
The Lalit Ashok Bangalore,"ýýý 3,008",Sheshadripuram | 3.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 767 Off,3.9, (Good),1233,6%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,6
Ramada Encore,"ýýý 1,520",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,4.5, (Excellent),2889,24%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,7
The Chancery Pavilion,"ýýý 2,230",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 812 Off,3.9, (Good),3324,11%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,8
The Leela Palace Bangalore,"ýýý 7,000",HAL old airport road | 600 m from Leela Palace Bus Stop,Get  INR 700 Cashback to Card,4.7, (Excellent),290,22%,"['Golf', 'Yoga', 'Lounge']",Bangalore,09-08-2021,11-08-2021,9
Lemon Tree Premier Ulsoor Lake Bangalore,"ýýý 2,330",Sivanchetti Gardens,Exclusive Offer - HDFC Credit Card Users. Get INR 1213 Off,,,,,"['Business Centre', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,10
Gokulam Grand Hotel & Spa,"ýýý 4,558",Mathikere | 730 m from BEL Circle Bus Stop (Towards Mathikere & Mekiri Circle),Exclusive Offer - HDFC Credit Card Users. Get INR 2214 Off,4, (Very Good),3454,33%,"['Lounge', 'Butler Services', 'Tours and Treks']",Bangalore,09-08-2021,11-08-2021,11
OYO Townhouse 273 Hosur Main Road Bommanahalli,"ýýý 1,515",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 374 Off,,,,,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,09-08-2021,11-08-2021,12
The Royale Senate Race Course,"ýýý 2,388",Sevashrama | 1.7 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1485 Off,4.2, (Very Good),672,24%,"['Free Parking', 'Free Shuttle Service', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,13
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru","ýýý 2,810",Richmond road | 1.6 km from Brigade Road,Get  INR 281 Cashback to Card,4.5, (Excellent),39,51%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,14
The Chancery,"ýýý 1,434",Ashok Nagar | 4.5 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 696 Off,4.3, (Very Good),638,20%,"['Lounge', 'Kids Play Area', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,15
Octave Hotel Double Rd,"ýýý 1,175",Sudhama Nagar | 4.4 km from Kempegowda Bus Station,,,,,,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,16
Purple Cloud Hotel,"ýýý 1,446",Yerthiganahalli | 28.7 km from city centre8.1 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 702 Off,4.5, (Excellent),1092,57%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,17
Hotel Royal Orchid Bangalore,"ýýý 2,624",Domlur Layout | 2.6 km from Manipal Hospitals - Old Airport Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1142 Off,3.7, (Good),1634,16%,"['Golf', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,18
Royal Orchid Central,"ýýý 2,707",Ulsoor | 620 m from MG Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1178 Off,4.1, (Very Good),1328,,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,19
Fortune Park JP Celestial-Member ITC Hotel Group,"ýýý 1,959",Gandhi Nagar | 1.3 km from Kempegowda Bus Station,,4.1, (Very Good),473,16%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,20
"The Oberoi, Bengaluru","ýýý 5,750",Ulsoor,,4, (Very Good),1444,18%,"['Butler Services', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,21
Palm Meadows Club,"ýýý 4,700",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 1200 Off,3.9, (Good),2272,18%,"['Free Parking', 'Kids Play Area', 'Childcare Services']",Bangalore,09-08-2021,11-08-2021,22
Octave Hotel & Spa JP Nagar,"ýýý 1,175",J. P. Nagar,,3.7, (Good),1235,30%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,23
Conrad Bengaluru- Luxury by Hilton,"ýýý 6,200",Ulsoor,,4.8, (Excellent),591,30%,"['Yoga', 'Lounge', 'Indoor Games']",Bangalore,09-08-2021,11-08-2021,24
Attide Hotel,"ýýý 2,630",Yashoda Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1277 Off,4.1, (Very Good),527,6%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,25
Keys Select Hosur Road- By Lemon Tree Hotels,"ýýý 1,315",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 722 Off,4.1, (Very Good),1372,,"['Indoor Games', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,26
Octave Plaza Hotel,"ýýý 1,000",Basavanagudi | 920 m from Sri Dodda Ganeshana Gudi,,4.4, (Very Good),513,,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,27
Davanam Sarovar Portico Suites,"ýýý 2,296",Koramangala | 870 m from Madiwala Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 1115 Off,3.8, (Good),242,25%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,28
Goldfinch Hotel - High Grounds,"ýýý 2,999",Gandhi Nagar | 2.9 km from Kempegowda Bus Station,,3.6, (Good),2343,34%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,29
De Venetian by TGI,"ýýý 1,765",Marathahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 684 Off,4.1, (Very Good),610,,"['Free Parking', 'Conference Room', 'ATM']",Bangalore,09-08-2021,11-08-2021,30
Royal Orchid Suites Whitefield- Bangalore,"ýýý 2,256",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 982 Off,4.4, (Very Good),1175,32%,"['Lounge', 'Butler Services', 'Tours and Treks']",Bangalore,09-08-2021,11-08-2021,31
Comfort Inn Insys,"ýýý 2,698",Yeshwanthpur | 2.3 km from Lottegollahalli Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 688 Off,4.3, (Very Good),1053,,"['Butler Services', 'Free Parking', 'Free Shuttle Service']",Bangalore,09-08-2021,11-08-2021,32
Hotel Paramos Inn,"ýýý 1,709",J. P. Nagar | 850 m from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 829 Off,3.8, (Good),302,12%,"['Free Wi-Fi', 'Elevator/Lift', '24-hour Cafe']",Bangalore,09-08-2021,11-08-2021,33
Octave Suites Residency Rd,"ýýý 1,613",Ashok Nagar | 460 m from MG Road,,3.9, (Good),1038,18%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,34
Citrus Hotel Cunningham by OTHPL,"ýýý 2,954",Cunningham Road | 4.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,4, (Very Good),1030,23%,"['Butler Services', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,35
The Signature Inn,ýýý 578,Near Bangalore Train Station | 810 m from Bangalore City Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 260 Off,4.4, (Very Good),366,22%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,36
Southend by TGI,"ýýý 1,784",Vidyanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 650 Off,4.4, (Very Good),761,,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,37
Capital O 60740 Silver Key,"ýýý 1,437",Outer Ring Road | 300 m from Kalamandir Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 355 Off,4.1, (Very Good),1111,16%,"['Free Wi-Fi', 'Kitchenette', 'Cafe']",Bangalore,09-08-2021,11-08-2021,38
Radisson Bengaluru City Center,"ýýý 3,000",Ulsoor,,4.2, (Very Good),1571,36%,"['Yoga', 'Lounge', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,39
Octave Hotel & Spa Marathahalli,"ýýý 1,000",Outer Ring Road | 860 m from Cessna Business Park,,4.1, (Very Good),472,11%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,40
Capital O 14972 Hotel Ekaa,"ýýý 1,558",Hosur road | 53 m from Kudlu Gate Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,3.2, (Good),98,51%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,41
Hotel Himalaya by Monarch,"ýýý 1,077",Gandhi Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 274 Off,4.6, (Excellent),580,,"['Conference Room', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,42
Clarks Exotica Resort & Spa,"ýýý 5,381",Chowdenahalli | 31.2 km from city centre10.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 2613 Off,3.8, (Good),1313,,"['Free Parking', 'Free Wi-Fi', 'Outdoor Sports']",Bangalore,09-08-2021,11-08-2021,43
Hotel Bangalore International,"ýýý 1,433",Gandhi Nagar | 2.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 890 Off,4.2, (Very Good),841,51%,"['Free Parking', 'Business Centre', 'Bar']",Bangalore,09-08-2021,11-08-2021,44
"Shivas Galaxy Hotel, Bengaluru","ýýý 2,087",Yerthiganahalli | 28.7 km from city centre8.1 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1618 Off,3.8, (Good),1543,6%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,45
Sterlings Mac Hotel & Suites,"ýýý 4,700",HAL old airport road | 120 m from Leela Palace Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 1199 Off,4.3, (Very Good),449,28%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,46
Fountain Tree by TGI Hotels,"ýýý 2,676",Bannerghatta Main road | 790 m from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 975 Off,3.7, (Good),599,20%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,47
La Marvella A Sarovar Premiere Hotel,"ýýý 5,999",Jayanagar | 4.4 km from Jayadeva Hospital,,4.3, (Very Good),395,33%,"['Free Parking', 'Childcare Services', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,48
"The Fern Residency - Yeshwanthpur, Bengaluru","ýýý 1,805",Tumkur road | 3.1 km from Yeswantpur Junction Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 460 Off,4.2, (Very Good),359,6%,"['Indoor Games', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,49
Oakwood Residence Prestige Whitefield,"ýýý 4,500",Brookefield,,4.1, (Very Good),451,11%,"['Kids Play Area', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,50
Octave Studio Hotel,"ýýý 1,175",Koramangala,,4.3, (Very Good),383,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,51
Lemon Tree Hotel Whitefield,"ýýý 2,028",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 1755 Off,4.2, (Very Good),802,25%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,52
Hotel Ivory Tower,"ýýý 2,127",Church Street | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1033 Off,4.3, (Very Good),157,,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,53
Signature Club Resort,"ýýý 3,568",Bychapura | 40.8 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1300 Off,4, (Very Good),783,,"['Free Parking', 'Childcare Services', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,54
Days Suites by Wyndham Whitefield,"ýýý 1,293",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,4.1, (Very Good),1411,42%,"['Lounge', 'Free Parking', 'Bakery']",Bangalore,09-08-2021,11-08-2021,55
Lemon Tree Hotel Electronics City Bangalore,"ýýý 1,997",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 1040 Off,3.9, (Good),248,41%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,56
Capital O 15950 J K Residency,"ýýý 1,293",K R Puram,Exclusive Offer - HDFC Credit Card Users. Get INR 319 Off,4.3, (Very Good),780,11%,"['Lounge', 'Free Wi-Fi', 'Kitchenette']",Bangalore,09-08-2021,11-08-2021,57
Hotel Ramanashree Richmond Circle,"ýýý 2,037",Sampangi Rama Nagar | 3.3 km from Kempegowda Bus Station,,3.9, (Good),324,53%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,58
JP CORDIAL,"ýýý 1,688",Majestic | 990 m from Majestic Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 819 Off,4, (Very Good),1359,33%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,59
Empire International Koramangala,"ýýý 1,284",Koramangala | 890 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 327 Off,3.8, (Good),53,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,60
"Howard Johnson by Wyndham, Hebbal","ýýý 3,290",Near Manyata Tech Park | 1.6 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,3.9, (Good),348,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,61
Taj Bangalore,"ýýý 8,000",Bangalore Airport | 36.6 km from city centre1.7 km from Kempegowda Airport,HDFC Credit Card Offer. Get INR 2400 Off & INR 500 TAJ Gift Card,3.7, (Good),1116,16%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,09-08-2021,11-08-2021,62
Sai Vishram Business Hotel,"ýýý 2,820",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,3.7, (Good),1105,34%,"['Free Parking', 'Conference Room', 'Bakery']",Bangalore,09-08-2021,11-08-2021,63
Capital O 1324 Royal Inchara,"ýýý 1,089",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 269 Off,4, (Very Good),671,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,09-08-2021,11-08-2021,64
OYO 15270 Atithi Residency,"ýýý 1,318",Attibele | 32.1 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 325 Off,4.6, (Excellent),640,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,65
Icon Boutique Hotel by Bhagini,"ýýý 1,532",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 952 Off,4.1, (Very Good),245,6%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,66
Oakwood Premier Prestige Bangalore,"ýýý 5,185",Ashok Nagar | 3.8 km from Kempegowda Bus Station,,4, (Very Good),42,51%,"['Yoga', 'Lounge', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,67
The Rialto Hotel,"ýýý 1,422",Gandhi Nagar | 1.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 884 Off,4, (Very Good),17,51%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,68
"Vivanta Bengaluru, Whitefield","ýýý 2,700",Kundalahalli Gate road,HDFC Credit Card Offer. Get INR 810 Off & INR 500 TAJ Gift Card,4.1, (Very Good),242,39%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,69
The Royal Comfort,"ýýý 1,837",Jayanagar | 3.3 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 1885 Off,4.3, (Very Good),208,15%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,70
"Zone By The Park, Electronic City","ýýý 2,115",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 540 Off,4.3, (Very Good),363,20%,"['Lounge', 'Tours and Treks', 'Indoor Games']",Bangalore,09-08-2021,11-08-2021,71
MySpace Hotels Silverstar,"ýýý 1,224",Gandhi Nagar | 1.6 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 761 Off,4.4, (Very Good),308,40%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,72
Shivas Gateway,"ýýý 2,020",Yerthiganahalli | 28.5 km from city centre7.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1565 Off,3.9, (Good),518,48%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,73
Radisson Blu Atria Bengaluru,"ýýý 3,290",Palace road | 2.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,4, (Very Good),722,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,74
Vinaya Royal Inn,"ýýý 1,081",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 837 Off,4, (Very Good),238,40%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,75
Hilton Bangalore Embassy GolfLinks,"ýýý 4,725",Domlur Layout,,4.3, (Very Good),548,63%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,09-08-2021,11-08-2021,76
Nandhana Grand,"ýýý 1,433",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 891 Off,4.4, (Very Good),964,6%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,77
"Taj Yeshwantpur, Bengaluru","ýýý 5,400",Tumkur road,HDFC Credit Card Offer. Get INR 1620 Off & INR 500 TAJ Gift Card,4.5, (Excellent),266,36%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,09-08-2021,11-08-2021,78
Hyatt Centric MG Road Bangalore,"ýýý 3,295",Ulsoor,Get  INR 593 Cashback to Card,4.4, (Very Good),233,,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,79
Iris Hotel & Spa Bangalore,"ýýý 2,111",Residency Road | 5.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1063 Off,3.7, (Good),591,20%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,80
Breeze Suites,"ýýý 1,772",Chikkajala | 24.9 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 860 Off,4.6, (Excellent),1284,,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,09-08-2021,11-08-2021,81
The Porch Inn Hotel/Service Apartments,"ýýý 1,070",Hombegowda Nagar | 940 m from Nimhans Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 634 Off,4.6, (Excellent),514,20%,"['Lounge', 'Butler Services', 'Free Parking']",Bangalore,09-08-2021,11-08-2021,82
"ITC Gardenia, A Luxury Collection Hotel","ýýý 5,460",Ashok Nagar | 3.8 km from Kempegowda Bus Station,Get  INR 546 Cashback to Card,4.1, (Very Good),748,25%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,09-08-2021,11-08-2021,83
"The Royale Senate, Hebbal","ýýý 2,385",Hebbal | 4.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 1482 Off,3.9, (Good),686,18%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,84
Shoba Enclave,ýýý 749,Kalyan Nagar | 4.0 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 754 Off,4.4, (Very Good),128,33%,"['Lounge', 'Free Parking', 'Vehicle Rentals']",Bangalore,09-08-2021,11-08-2021,85
The Citrine Hotel - Seshadripuram,"ýýý 2,538",Sheshadripuram | 1.9 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 648 Off,4.5, (Excellent),586,16%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,86
Adarsh Hamilton,"ýýý 3,290",Richmond road | 1.7 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,4, (Very Good),408,20%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,87
The Elanza Hotel,"ýýý 1,880",Richmond road,Exclusive Offer - HDFC Credit Card Users. Get INR 479 Off,4, (Very Good),207,38%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,88
Gardeenia Comfortes Suites,"ýýý 1,397",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 678 Off,4.3, (Very Good),301,6%,"['Yoga', 'Indoor Games', 'Outdoor Sports']",Bangalore,09-08-2021,11-08-2021,89
Capital O 75224 Nandhana Comforts,"ýýý 1,500",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,4.4, (Very Good),571,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,09-08-2021,11-08-2021,90
MGM Mark Whitefield,"ýýý 1,368",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 664 Off,4.1, (Very Good),990,25%,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,91
Empire International Church Street,"ýýý 1,343",Church Street | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 342 Off,3.9, (Good),277,32%,"['Business Centre', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,09-08-2021,11-08-2021,92
Temple Tree Hotel - Wilson Garden,"ýýý 1,879",Mavalli | 4.4 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 479 Off,4.6, (Excellent),10,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,93
Capital O 490 Hotel Compact Maple Leaf,"ýýý 1,674",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 414 Off,4.4, (Very Good),540,49%,"['Tours and Treks', 'Conference Room', 'ATM']",Bangalore,09-08-2021,11-08-2021,94
"Fortune Select Trinity Whitefield, Bengaluru-Member ITC Hotel Group","ýýý 1,498",Brookefield,,4.1, (Very Good),586,34%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,95
Blupetal - A Business Hotel,"ýýý 2,162",Koramangala | 4.2 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 552 Off,4.1, (Very Good),478,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,96
The Oterra Bangalore,"ýýý 5,622",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,3.8, (Good),163,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,97
Hotel Swagath,"ýýý 1,187",Chickpete | 740 m from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 737 Off,3.7, (Good),547,45%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,09-08-2021,11-08-2021,98
OYO Townhouse 180 Jayanagar,"ýýý 1,454",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 359 Off,4.6, (Excellent),307,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,09-08-2021,11-08-2021,99
The Windflower Resorts & Spa,"ýýý 6,800",Navarathna Agrahara | 32.9 km from city centre12.9 km from Kempegowda Airport,,4.6, (Excellent),27,14%,"['Kids Play Area', 'Outdoor Sports', 'Lawn']",Bangalore,09-08-2021,11-08-2021,100
Hotel Bangalore Gate,"ýýý 2,507",Chickpete | 1.0 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1217 Off,4.1, (Very Good),326,40%,"['Free Parking', 'Bonfire', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,101
DoubleTree Suites by Hilton Bangalore,"ýýý 2,494",HSR Layout,,3.3, (Good),128,51%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,09-08-2021,11-08-2021,102
SS Lumina Hotel,"ýýý 1,091",Koramangala,Exclusive Offer - HDFC Credit Card Users. Get INR 529 Off,4.1, (Very Good),641,,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,09-08-2021,11-08-2021,103
Angsana Oasis Spa & Resorts,"ýýý 6,750",Addevishvanathapura | 27.4 km from city centre,,4, (Very Good),216,24%,"['Free Parking', 'Kids Play Area', 'Childcare Services']",Bangalore,09-08-2021,11-08-2021,104
Mango Hotels - Purple Brigade,"ýýý 2,394",Church Street | 360 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 1856 Off,4.5, (Excellent),324,,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,09-08-2021,11-08-2021,105
Renaissance Bengaluru Race Course Hotel,"ýýý 4,276",Gandhi Nagar | 2.2 km from Kempegowda Bus Station,,4.2, (Very Good),70,43%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,09-08-2021,11-08-2021,106
Pai Vista,"ýýý 1,722",Kanakpura road,Exclusive Offer - HDFC Credit Card Users. Get INR 836 Off,3.9, (Good),524,29%,"['Free Parking', 'Conference Room', 'ATM']",Bangalore,09-08-2021,11-08-2021,107
